Model,Accuracy,Recall,Precision,F1,Train Accuracy,F1 control,F1 scarcity,Recall control,Recall scarcity,Precision control,Precision scarcity
MultinomialNB,0.9523809523809523,0.9513888888888888,0.9513888888888888,0.9513888888888888,0.9283088235294118,0.9583333333333334,0.9444444444444444,0.9583333333333334,0.9444444444444444,0.9583333333333334,0.9444444444444444
SGDClassifier,0.9285714285714286,0.9236111111111112,0.9305882352941177,0.926530612244898,0.9227941176470589,0.9387755102040817,0.9142857142857143,0.9583333333333334,0.8888888888888888,0.92,0.9411764705882353
SVC,0.9285714285714286,0.9236111111111112,0.9305882352941177,0.926530612244898,0.9169117647058822,0.9387755102040817,0.9142857142857143,0.9583333333333334,0.8888888888888888,0.92,0.9411764705882353
VotingClassifier,0.9285714285714286,0.9236111111111112,0.9305882352941177,0.926530612244898,0.9286764705882353,0.9387755102040817,0.9142857142857143,0.9583333333333334,0.8888888888888888,0.92,0.9411764705882353
LogisticRegression,0.9047619047619048,0.8958333333333334,0.9110576923076923,0.9011764705882352,0.9110294117647058,0.9199999999999999,0.8823529411764706,0.9583333333333334,0.8333333333333334,0.8846153846153846,0.9375
VotingClassifier_NoTuning,0.9047619047619048,0.8958333333333334,0.9110576923076923,0.9011764705882352,0.9224264705882353,0.9199999999999999,0.8823529411764706,0.9583333333333334,0.8333333333333334,0.8846153846153846,0.9375
RandomForestClassifier,0.9047619047619048,0.8958333333333334,0.9110576923076923,0.9011764705882352,0.8922794117647058,0.9199999999999999,0.8823529411764706,0.9583333333333334,0.8333333333333334,0.8846153846153846,0.9375
KNN Baseline,0.8809523809523809,0.8819444444444444,0.8775743707093822,0.8792409430707303,0.8444852941176471,0.8936170212765957,0.8648648648648649,0.875,0.8888888888888888,0.9130434782608695,0.8421052631578947
KNN,0.8571428571428571,0.8541666666666667,0.8541666666666667,0.8541666666666667,0.9165441176470589,0.875,0.8333333333333334,0.875,0.8333333333333334,0.875,0.8333333333333334
DecisionTreeClassifier,0.8333333333333334,0.8194444444444444,0.8407407407407408,0.8253119429590017,0.851470588235294,0.8627450980392156,0.7878787878787877,0.9166666666666666,0.7222222222222222,0.8148148148148148,0.8666666666666667
GradientBoostingClassifier,0.8333333333333334,0.8194444444444444,0.8407407407407408,0.8253119429590017,0.8805147058823529,0.8627450980392156,0.7878787878787877,0.9166666666666666,0.7222222222222222,0.8148148148148148,0.8666666666666667
